מזהה,קטגוריה,השאלה המקורית,התשובה המשופרת (מהאפיון),"אמל""ק"
62,מסד נתונים,טבלת לקוחות מקושרת? +1,מאושר (Relational DB). +1,DB רלוציוני.
63,מסד נתונים,פולו-אפ חכם?,Human-in-the-Loop AI – המערכת מזהה דפוסים ומציעה פעולות לאישור אנושי. +2,המלצות AI לאישור.
64,מסד נתונים,נתיב קובץ מקומי במערכת?,"פתרון מאובטח מאוד למניעת חשיפה, אך עלול ""להישבר"" בגישה מרחוק. +3",נתיבים מקומיים מאובטחים.
65,מסד נתונים,היסטוריית פעולות (Audit)?,שמירת Audit Log מלא וחסוי. +1,יומן ביקורת.
66,מסד נתונים,שדה טמפרטורה?,"יחושב אוטומטית ע""י המערכת (לפי זמן וסטטוס) למניעת עומס תפעולי. +2",חישוב טמפרטורה אוטומטי.
67,מסד נתונים,מבנה הערות?,Timeline - כל פעולה מקבלת שורה חדשה וחותמת זמן. +1,ציר זמן (Timeline).
68,מסד נתונים,סיבת הפסד?,שדה חובה לשמירה באנליטיקה. +1,תיעוד הפסדים חובה.
69,מסד נתונים,חישוב ימים שעברו?,יבוצע אוטומטית. +1,ספירת ימים אוטומטית.
70,מסד נתונים,מזהים וסודיות?,"""שיטת המזהה הכפול"" (Unified ID) - מס' ERP + ראשי תיבות חברה + מס' הצעה. ללא שמות אקראיים. +1","קוד לקוח + ר""ת. "
71,UI מתקדם,מסך פתיחה חלופי?,"דאשבורד ""טייס המשנה"" - טקסט אנושי (Copilot) מסכם משימות, וחלוקה ל""מגירות"" ויזואליות. +2",דאשבורד טקסטואלי חכם.
72,UI מתקדם,סרגל ניווט?,עליון ודינמי (Contextual). +2,סרגל ניווט חכם.
73,UI מתקדם,תצוגת מסך מפוצל? +1,"רשימה צרה בימין, דיאלוג עריכה מלא משמאל. +2",Master-Detail View. +1
74,UI מתקדם,Dark Mode?,מאושר. +2,מצב כהה.
75,UI מתקדם,פתיחת הצעה חדשה?,פופ-אפ מהיר עם אופציה להרחבה. +1,Pop-up מתרחב.
76,UI מתקדם,סינונים?,10 המסננים החשובים לקונטקסט. +2,10 מסננים קונטקסטואליים.
77,UI מתקדם,שמירת פילטרים?,מאושר. +1,שמירת Views.
78,UI מתקדם,צבעים לסטטוסים?,"""ללכת על ההיגיון"" (דורש הכרעה עיצובית כדי למנוע רעש ויזואלי). +1",צבעים מתונים.
79,UI מתקדם,עיצוב כפתורים?,"מקצועי, בוגר, מזמין לחיצה. ",כפתורים מקצועיים.
80,UI מתקדם,ביצועים (Latency)?,דרישת סף קריטית - רענון DOM חלקי ללא טעינת עמוד מלאה. +1,אפס זמני המתנה.
81,זרימת עבודה,אלגוריתם תעדוף?,"יתבסס על טמפרטורה, זמן שעבר ואבני דרך נוספים (Smart Triage). +1",תעדוף משוקלל.
82,זרימת עבודה,חלון דינמי לאחר פעולה?,"מאושר, ישאל תמיד ""מה הצעד הבא"". +1",דרישת צעד הבא.
83,זרימת עבודה,מצב פוקוס (Focus Mode)?,"מאושר, בידוד משימות למניעת הסחות דעת בלחיצה. +1",סינון למצב מיקוד.
84,זרימת עבודה,התראות אדומות?,בולטות אבל לא מציקות.,אדום לא צועק.
85,זרימת עבודה,דחייה והשהייה?,"המערכת תשאל ""מה הסיבה"" כדי לייצר נתונים, אך תאפשר דילוג. +1",דחייה מותנית.
86,זרימת עבודה,חיפוש בהערות?,"יתמקד בתגיות, מזהים ומיקרו-טקסט. סיכומי שיחה מלאים יהיו רק ב-ERP. +2",חיפוש במטא-דאטה.
87,זרימת עבודה,הצפת הצעות נשכחות?,"אלגוריתם יקצה ""תוקף"" אוטומטי (למשל 4 ימים) להקפצת משימות שלא טופלו. +1",הקפצת SLA אוטומטית.
88,זרימת עבודה,פידבק הצלחה?,ויזואלי ובוגר. +1,חיזוקים ויזואליים בוגרים.
89,זרימת עבודה,הזנה כפולה ומניעת כפילות?,"סריקה פנימית עפ""י המזהה הכפול תחסום פתיחת כרטיסים כפולים (Hard Block). +1",חסימת כפילויות ID.
90,זרימת עבודה,תגיות (Tags)?,"מנוהלות עצמאית ע""י המשתמש. +1",תגיות בהתאמה אישית.
91,פיתוחים עתידיים,משיכת נתונים אוטומטית מ-ERP?,מחוץ לתכולת הפרויקט (Out of Scope). +2,נפסל לגרסה זו.
92,פיתוחים עתידיים,גרף אחוזי סגירה?,מאושר (השוואתי). +2,יישום גרף מכירות.
93,פיתוחים עתידיים,תוסף דפדפן?,נפסל עקב סיכוני אבטחת מידע ל-ERP. +1,נפסל ביטחונית.
94,פיתוחים עתידיים,סנכרון יומן Outlook?,מחוץ לתכולה כרגע. +1,הושעה לשלב הבא.
95,פיתוחים עתידיים,AI לניסוח פתיחים לשיחה?,מאושר ל-MVP בכפוף לעלויות API או שימוש במודל מקומי. +2,Copilot לניסוח מכירתי.
96,פיתוחים עתידיים,יעדים אישיים (KPIs)?,"יוטמעו יעדים גמישים ומותאמים לקצב הפולו-אפ, לא מכסות קשיחות. +1",KPIs גמישים למוטיבציה.
97,פיתוחים עתידיים,ייצוא אקסל (Export)?,מאושר ברמת מערכת המעקב (Export to Excel). +1,יצוא דוחות.
98,פיתוחים עתידיים,פתק מהיר גלובלי (Quick Note)?,הושעה. (מייצר התנגשות כי המשתמשים יחזרו למחברת פיזית). +1,נדחה לפיתוח עתידי.
99,פיתוחים עתידיים,הפעולה השנואה ביותר שוב?,"ההצפה, אובדן הזיכרון לחפיפות וההזנה הכפולה ל-ERP. +1",מניעת איבוד ידע ארגוני.
100,פיתוחים עתידיים,שם הפרויקט?,הושאר ריק לבנתיים. +1,ללא שם.
101,ניהול לקוחות,יחס ללקוח ותיק מול חדש?,המערכת תהיה גמישה ותתמוך בתקשורת א-פורמלית ורשמית כאחד. +2,התאמת סגנון ללקוח.
102,ניהול לקוחות,טמפרטורה נפרדת?,הטמפרטורה תהיה פרמטר משוקלל ולא מסך נפרד. +1,שקלול טמפרטורה מרכזי.
103,ניהול לקוחות,פרופיל לקוח מאוחד?,היסטוריית ההצעות תאוחד תחת מעטפת אבטחה קפדנית ביותר. +1,איחוד נתונים מאובטח.
104,ניהול לקוחות,הפיכה ללקוח ותיק?,"תהליך הדרגתי, ללא שימוש בתגית בינארית נוקשה של חדש/ותיק. +1","מעבר הדרגתי, לא בינארי. "
105,ניהול לקוחות,ערוץ תקשורת מועדף?,המערכת תסמן ויזואלית האם הלקוח מעדיף וואטסאפ או מייל. +1,סימון וואטסאפ/מייל.
106,ניהול לקוחות,מדד אמון/חוזק קשר?,"יחושב אוטומטית לפי סטטוס וזמן מפעולה אחרונה, ללא הקלדה ידנית. +1",חישוב חוזק קשר אוטומטי.
107,תקשורת פנים,אישורים פנימיים?,"שימוש ב-Slash Commands (למשל ""/מ"") כדי לאפשר הקלדה זורמת ללא טפסים. +1",פקודות סלאש לעדכונים.
108,תקשורת פנים,"הצעות בהמתנה למנכ""ל? ","ינותבו ל""מגירת המתנה פנימית"" כדי לא להעמיס על המסך הראשי של הנציג. +1",הסתרה למגירת המתנה.
109,תקשורת פנים,עדכונים שוטפים?,ירשמו כנקודות ציון (Milestones) בטיימליין בזמן אמת. +2,ציר זמן (Milestones).
110,תקשורת פנים,תשובות פנימיות חלקיות?,גם הן יירשמו כאירועים ללא שינוי סטטוס המאסטר. +1,תיעוד מבלי להחליף סטטוס.
111,תקשורת פנים,תיוג מחלקות?,"יישאר רזה (היררכיה שטוחה), ללא תיוגים מורכבים עקב גודל הארגון. +1",תיוגים שטוחים ופשוטים.
112,תקשורת פנים,גרסה חדשה ללקוח?,תקבל בולטות ויזואלית מיוחדת בציר הזמן (Highlight). +1,אירוע מודגש בטיימליין.
113,תזמונים,השהייה לטווח ארוך?,"עסקאות נדחות יוסתרו לחלוטין ויעברו למגירת ""עתידיים"" עד שיבשילו. +1","הסתרה במגירת ""עתידיים"". "
114,תזמונים,לקוח מקדים קשר?,המערכת תקפיץ כפתור לעדכון מהיר וביטול התזכורת המקורית. +1,קיצור SLA בעת פנייה.
115,תזמונים,ריבוי אנשי קשר באנונימיות?,"בחירת תגיות תפקיד מובנות (כמו ""איש רכש"") במקום הקלדת שמות מלאים. +1",תגיות במקום שמות.
116,תזמונים,קיבוץ ויזואלי של כישלונות?,ניסיונות התקשרות רצופים יקובצו יחד (Accordion) למניעת עומס וגלילה. +2,"קיבוץ ""לא ענו"". "
117,תזמונים,לחצני דחייה מהירים?,מאושר לחסכון בקליקים. +1,קליק בודד לניסיון כושל.
118,תזמונים,גיל ההצעה?,חיווי ויזואלי מרומז ימנע נפילת הצעות ישנות בין הכיסאות. +1,חיווי זמן פאסיבי.
119,תזמונים,משימות הממתינות למלאי?,"יוצאו ממשפך המכירות ויועברו למשפך ""לוגיסטיקה"" נפרד. +1",הפרדה למשפך לוגיסטי.
120,תזמונים,תעדוף ללא חשיפת כסף?,המשתמש יזין דירוג אסטרטגי (כוכבים/ברקים) במקום סכומי כסף מסווגים מה-ERP. +1,"תעדוף ע""י דירוג סובייקטיבי. "
121,אנליטיקה,סיבות הפסד?,תיעוד הפסד (או זכייה) מחייב בחירת סיבה + טקסט חופשי. פטור יחול רק על לקוחות סדרתיים. +1,חובת תיעוד סגירה.
122,אנליטיקה,סיבות זכייה?,זהה לסעיף הקודם.,חובת תיעוד.
123,אנליטיקה,התראות צוואר בקבוק?,המערכת תתריע אם העיכוב מצוי אצל המשתמש ותזהיר מלקוחות רדומים (חצי שנה). +2,התראות עיכוב עצמי.
124,אנליטיקה,ייצוא דוחות (Export)?,"ייצוא אקסל ל-3 דוחות ליבה: צווארי בקבוק, הפסדים ויחס המרה. +1",יצוא 3 דוחות אקסל.
125,אנליטיקה,לקוחות רדומים?,חצי שנה ללא פעילות יקפיץ התראה. +1,התראה אחרי 6 חודשים.
126,אנליטיקה,יחס המרה?,יוצג ב-Real-time בדאשבורד אישי לעידוד תפוקה. +1,מדד לשיפור מוטיבציה.
127,אנליטיקה,ניווט מקלדת?,חובה. מעבר עם Tab ללא שימוש בעכבר ב-MVD (הזנה מינימלית). +1,ניווט ב-Tab בלבד.
128,אנליטיקה,Auto-focus?,חלק אינטגרלי מהזנת נתונים מינימלית.,סמן קופץ אוטומטית.
129,אנליטיקה,MVD?,פתיחת הצעה דורשת מינימום נתונים (ID והערה). +1,מזהה + הערה.
130,אנליטיקה,תאריכי תזכורת?,"כפתורים מהירים (""מחר"", ""שבוע הבא"") ומיני-יומן לבחירה ספציפית. +1",לחצני תזמון מהירים.
131,אנליטיקה,Sticky Notes מסוכנים?,מלל חופשי בפתקים קבועים ייאסר (בטיחות משפטית). ניתן להשתמש בתגיות מקצועיות בלבד. +1,תגיות במקום מלל חופשי.
132,אנליטיקה,Hashtags מקובצים?,מחוץ לתכולת ה-MVP. +2,נדחה לגרסאות הבאות.
133,אנליטיקה,קונטרסט למצב כהה?,נפסל. +1,לא רלוונטי.
134,אנליטיקה,גרירת חלון במסך מפוצל?,האזור השמאלי (הערות) ניתן להגדלה/הקטנה ידנית לקריאה נוחה. +1,Resizable Window.
135,שגרת עבודה,קפה של בוקר (דאשבורד)?,"תצוגה נקייה: צווארי בקבוק, להיום, והמתנה. +2",פוקוס בוקר ב-3 עמודות.
136,שגרת עבודה,משימות שנגררו?,יסומנו ויזואלית (שעון חול אדום). +2,חיווי איחורים ויזואלי.
137,שגרת עבודה,סיכום יום שישי?,דוח פסיכולוגי חיובי לסגירת השבוע. +1,דוח הצלחות שבועי.
138,שגרת עבודה,מצב חופשה?,"יקפיא התראות למשך חופשה ויעביר משימות ל""מגירת השלמות"" שקטה למניעת חרדה. +1","""שקט תעשייתי"" בחופש. "
139,שגרת עבודה,לידים (Pre-Sale)?,פייפליין נפרד למניעת זיהום נתוני הצעות רשמיות. +2,חוצץ נפרד ללידים.
140,שגרת עבודה,מצב פרטיות משרדי?,שמות קוד כברירת מחדל. חשיפת השם תדרוש קוד לזמן קצוב (נגד הצצות במסך).,מסך Privacy.
141,שגרת עבודה,ארכוב?,ארכוב אוטומטי של עסקאות סגורות/אבודות אחרי 60 יום. +1,העברה לארכיון אוטומטית.
142,שגרת עבודה,חיפוש בארכיון?,"אפשרי, עם סימון מובהק לתוצאות ישנות. ",חיפוש נתונים מוגבל.
143,שגרת עבודה,אופליין/Local First?,המערכת תכתוב למסד מקומי ותסתנכרן לענן ברקע לביצועים חסרי תקדים. +1,מהירות מקומית הרמטית.
144,שגרת עבודה,כפתור חזור (SPA)?,"כפתור ""Back"" בדפדפן רק יסגור חלונות קופצים, ולא יזרוק מהמערכת. +1",הגנה מפני נטישה (Back).
145,שגרת עבודה,ניתוק אוטומטי (Logout)?,לא נדרש. +1,אין Timeout למשתמש.
146,שגרת עבודה,שיוך למטפל?,הוספת שדה 'בעלים' להכנת המערכת לריבוי משתמשים בעתיד. +2,שדה בעלות על תיק.
147,שגרת עבודה,כפילות ביצירת קוד לקוח?,התראה אקטיבית וזיהוי מבוסס ענף למניעת בלבול מול ה-ERP. +1,חסימת זיהוי כפול.
148,שגרת עבודה,מחיקת הערות (Soft Delete)?,"הערות יימחקו ויזואלית לתיקון טעויות, אך יישמרו בסתר ב-Audit Log לצרכים משפטיים. +1","""מחיקה"" שלא מוחקת. "
149,שגרת עבודה,שדרוג נתיבי קבצים מקומיים?,יפותח כלי חיפוש-החלפה לעדכון המוני של לינקים בעת שדרוג שרת המשרד. +1,תחזוקת לינקים.
150,שגרת עבודה,אמינות משפטית?,כל הפעולות (כולל Soft Delete) נאגרות יומן גיבוי שאינו חשוף למשתמש הרגיל. +1,יומן מעקב חסוי ב-Backend.
151,קונטקסט (פרוסיל),פעילות הליבה?,אטימה ומיכלים. דורש ממשק שנסרק במבט חטוף עקב עבודה פיזית דינמית במחסן/דלפק.,ממשק מהיר למחסנאי.
152,קונטקסט (פרוסיל),מבנה הצוות?,"מאור (מנכ""ל), אלכסיי (ייצור) ועוד. המערכת תשרת משתמש מרכזי אחד כרגע (איש הדלפק) בארכיטקטורה מודולרית. +2",MVP נבנה למשתמש בודד.
153,קונטקסט (פרוסיל),קהל לקוחות?,B2B/B2C מעורב. פתרון: תיוגים קלים במקום הקמת לקוח מסורבלת. +1,תיוג עוקף Onboarding.
154,קונטקסט (פרוסיל),מבנה פיזי?,מפוצל ומרובה מפלסים. הפתרון - UI נקי ומוכוון הקלדה בלבד במקלדת. +1,עבודה רציפה מהמקלדת.
155,קונטקסט (פרוסיל),צוואר הבקבוק המרכזי?,"אריזה וניהול ידע בע""פ. תוקם ""מגירה תפעולית"" נפרדת לאופרציה/לוגיסטיקה. +1",יצירת מגירה תפעולית.
156,קונטקסט (פרוסיל),סוכן שטח?,לא עובד במערכת. המערכת תבודד את עבודתו. +1,מחוץ לתחום כרגע.
157,קונטקסט (פרוסיל),מחלקת שילוח?,מנוהלת מהדלפק. מצדיק הפרדה ויזואלית למגירת תפעול. +2,שילוח מנוהל כסטטוס.
158,קונטקסט (פרוסיל),נפח הצעות?,"15 בשבוע. מאפשר זניחת טבלאות צפופות (Grids) לטובת ""כרטיסיות עשירות"" (Rich Cards). +1",כרטיסיות מידע פתוחות.
159,קונטקסט (פרוסיל),נפח משלוחים?,"יומיומי חפוז. לא יפותח מודול שילוח מורכב, אלא סטטוס מעקב פשוט. +1",ללא מודול חלוקה מורכב.
160,קונטקסט (פרוסיל),"מה פותר דוח המנכ""ל? ","הצפת מגמות וחוסרים מבלי לחשוף מחירים. הפתרון: סיכום AI טקסטואלי שיישלח לוואטסאפ של המנכ""ל. +2","Copilot מפיק דוח למנכ""ל. "
161,קונטקסט (פרוסיל),מחלקת רכש?,"הרכש מבוצע בלעדית ע""י המנכ""ל, לכן עסקאות אלו יקבלו סטטוס ""ממתין לרכש/מנכ""ל"". +1","""ממתין לרכש/מנכ""ל"". "
162,קונטקסט (פרוסיל),הכאב בהיעדר דוח?,הזמנות מתפספסות ואין זיהוי מגמות. ה-AI המקומי יסגור זאת עצמאית מתוך הערות איש המכירות. +1,ה-AI מציף בעיות פרואקטיבית.
163,"דוח מנכ""ל",מבנה 7 קטגוריות?,"המבנה הקיים יעודכן למבנה ה-MVP החדש (למשל, מדור תקלות חדש). +2",מודרניזציה של קטגוריות.
164,"דוח מנכ""ל",קטגוריות ריקות?,יוצגו תמיד לשמירת עקביות. +2,נוכחות קבועה של כותרות.
165,"דוח מנכ""ל","התצוגה למנכ""ל? ","דאשבורד קוביות ""עצי אב"" (Drill-down) המאפשר למנכ""ל לבחור במה להעמיק, במקום רשימה אינסופית. +1",תצוגת Drill-down (אקורדיון).
166,"דוח מנכ""ל",הצעות מחיר בדוח?,"יוצגו הצעות מיוחדות ואף סגורות אם נדרש ""פוסט-מורטם"". +1",פוקוס על חריגים והצלחות.
167,"דוח מנכ""ל",פריטים מתמשכים?,פריטים תקועים (כגון שחרור ממכס) יגולגלו אוטומטית לדוח של השבוע הבא. +1,גלגול אוטומטי של תקיעויות.
168,"דוח מנכ""ל",ייצוג ייצור (CNC)?,יקבל ייצוג בולט לאיתור צווארי בקבוק אופרטיביים. +2,ייצוג בולט לתפעול.
169,"דוח מנכ""ל",תיעוד משלוחים?,"משלוחי שגרה יסוננו החוצה, יוצגו רק משלוחים אסטרטגיים. +2",סינון רעש לוגיסטי.
170,"דוח מנכ""ל","""לקוח חדש""? ","טייטל שיופעל רק ידנית ללקוחות שהבשילו, לא באופן אוטומטי. +1",הגדרה ידנית בלבד.
171,"דוח מנכ""ל",חסרים?,מיקוד בחוסרי מלאי פיזי בלבד כרגע.,תיעוד מחסור במלאי.
172,"דוח מנכ""ל","קטגוריית ""למידה""? ","תשנה ייעוד ל""מערך ידע"" ותכלול קטלוגים וטבלאות המרה. +1",Knowledge Base פנימי.
173,"דוח מנכ""ל",תקלות/בעיות?,קטגוריה חדשה לבעיות אופרטיביות (מחסן). +1,קטגוריה תפעולית.
174,"דוח מנכ""ל",הערות General?,"הפיכתה ממגירת ""פח זבל"" לכלי הודעות למנכ""ל דרך פקודת /מאור. +1","כלי הודעות דיירקט למנכ""ל. "
175,"דוח מנכ""ל",תיוג VIP?,"כפתור ""כתר"" לסימון לקוח אסטרטגי המלווה בהודעת אישור. +1",כפתור VIP חכם.
176,"דוח מנכ""ל",מאיפה נשאב המידע?,"מיומן העבודה השוטף וההערות, ללא הקלדה כפולה לקראת הדוח. +1",שאיבה אוטומטית מהיומן.
177,"דוח מנכ""ל",תיעוד החמצות?,"""System-Blame"": המערכת תציף עצמאית הצעות שנזנחו כדי למנוע סטרס של ""הלשנה עצמית"" מהמשתמש. +1","הצפת התקררויות ע""י ה-AI. "
178,"דוח מנכ""ל",הבחנה ביוזמה?,המערכת תאפשר תיעוד שיבחין בין פולו-אפ אקטיבי לבין יוזמה של הלקוח. +1,זיהוי דחיפה מול משיכה.
179,"דוח מנכ""ל",מדדים כמותיים בדוח?,"מדדים חלקיים ומוכווני-פעולה בלבד (פוטנציאל, עיכובים). +1",צמצום מספרים מיותרים.
